国家,新增确诊,确诊,治愈,死亡
根西岛,0,286,253,13
巴巴多斯,1,276,250,7
开曼群岛,0,274,236,2
圣卢西亚,2,259,131,2
百慕大,0,247,182,9
法罗群岛,0,184,157,0
塞舌尔,10,183,162,0
荷兰加勒比地区,0,161,0,3
文莱,0,150,145,3
安提瓜和巴布达,0,141,130,4
圣巴泰勒米岛,0,127,0,0
北马里亚纳群岛联邦,0,105,0,2
圣文森特和格林纳丁斯,0,85,79,0
多米尼克,0,85,63,0
英属维尔京群岛,0,72,70,1
斐济,0,42,33,2
格林那达,0,41,30,0
老挝,0,39,26,0
东帝汶,0,30,30,0
梵蒂冈,0,27,15,0
新喀里多尼亚,0,26,23,0
圣其茨和尼维斯,0,22,19,0
福克兰群岛,0,17,13,0
圣皮埃尔和密克隆群岛,0,16,12,0
蒙特塞拉特,0,13,12,1
格陵兰,0,11,11,0
安圭拉,0,3,3,0
