国家,新增确诊,确诊,治愈,死亡
中非共和国,0,4936,1924,63
阿鲁巴,0,4791,4640,45
索马里,0,4579,3529,121
泰国,17,4209,3923,60
布基纳法索,315,3894,2858,71
冈比亚,0,3779,3645,123
多哥,19,3221,2745,66
南苏丹,25,3206,3043,62
贝宁,0,3090,2972,44
几内亚比绍,0,2444,2337,44
塞拉利昂,2,2440,1850,75
莱索托,72,2250,1319,44
尼日尔,39,2199,1276,80
新西兰,4,2096,2015,25
也门共和国,1,2086,350,607
圣马力诺,0,1932,1575,51
美属维尔京群岛,56,1789,1589,23
乍得,6,1751,1603,102
利比里亚,0,1676,1358,83
泽西岛,0,1637,946,32
列支敦士登,36,1502,1296,20
越南,0,1395,1238,35
荷属圣马丁,0,1225,1070,26
圣多美和普林西比,0,1009,947,17
蒙古,1,907,384,0
圣马丁岛,0,838,0,12
法属波利尼西亚,0,773,528,0
布隆迪共和国,5,728,4,1
巴布亚新几内亚,0,720,601,8
厄立特里亚,55,711,564,0
特克斯和凯科斯群岛,0,668,572,5
摩纳哥,9,668,596,3
科摩罗,11,628,606,7
毛里求斯,0,515,478,10
坦桑尼亚,0,509,183,21
不丹,1,437,400,0
百慕大,27,391,233,9
马恩岛,0,370,324,25
柬埔寨,2,359,307,0
直布罗陀,0,315,273,0
开曼群岛,0,298,267,2
巴巴多斯,0,292,269,7
根西岛,0,289,275,13
圣卢西亚,0,274,197,4
塞舌尔,0,187,182,0
法罗群岛,0,184,157,0
荷兰加勒比地区,3,173,0,3
圣巴泰勒米岛,0,164,0,0
文莱,0,152,147,3
安提瓜和巴布达,1,148,138,4
北马里亚纳群岛联邦,0,113,0,2
圣文森特和格林纳丁斯,3,94,81,0
多米尼克,0,87,81,0
英属维尔京群岛,1,76,70,1
斐济,0,44,35,2
格林那达,0,43,30,0
老挝,0,41,33,0
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣其茨和尼维斯,1,27,21,0
新喀里多尼亚,0,26,23,0
福克兰群岛,0,19,17,0
圣皮埃尔和密克隆群岛,0,16,12,0
蒙特塞拉特,0,13,12,1
格陵兰,0,11,11,0
安圭拉,0,3,3,0
