国家,新增确诊,确诊,治愈,死亡
安哥拉,132,15493,8299,353
纳米比亚,0,14599,13774,151
爱沙尼亚,0,13939,8549,125
刚果（金）,149,13281,11753,337
几内亚,0,13186,12270,76
马尔代夫,37,13143,12199,47
塔吉克斯坦,41,12349,11758,87
博茨瓦纳,0,11531,8978,34
塞浦路斯,0,11523,2057,54
佛得角,58,10996,10496,108
牙买加,76,10987,6730,260
津巴布韦,0,10424,8754,280
马耳他,0,10320,8120,149
法属圭亚那,0,9692,9341,65
海地,0,9331,8114,233
加蓬,15,9254,9106,60
毛里塔尼亚,176,9181,7812,182
古巴,79,8610,7858,136
瓜德罗普岛,0,8427,0,149
叙利亚,86,8233,3811,437
留尼旺,0,8102,0,40
巴哈马,0,7549,5934,163
伯利兹,0,7236,3571,164
安道尔,51,6955,6130,77
关岛,0,6889,5846,112
特立尼达和多巴哥,10,6735,5884,121
斯威士兰,6,6480,6066,122
乌拉圭,0,6455,4826,80
马拉维,4,6047,5472,185
卢旺达,32,6043,5672,51
尼加拉瓜,0,5838,4225,161
刚果（布）,0,5774,4988,94
吉布提,1,5690,5592,61
圭亚那,73,5601,4695,151
马提尼克,0,5520,0,41
冰岛,0,5462,5223,27
苏里南,0,5322,5203,117
马约特,0,5181,0,49
赤道几内亚,0,5159,5023,85
马里,58,4938,3307,163
中非共和国,0,4918,1924,63
阿鲁巴,0,4791,4640,45
索马里,0,4525,3480,121
泰国,0,4053,3839,60
冈比亚,0,3767,3613,123
南苏丹,0,3154,2977,62
布基纳法索,29,3091,2687,68
贝宁,0,3055,2907,44
多哥,0,3039,2599,65
几内亚比绍,0,2441,2327,44
塞拉利昂,4,2420,1842,74
莱索托,5,2150,1278,44
也门共和国,0,2081,350,606
新西兰,0,2069,1983,25
圣马力诺,42,1756,1381,47
乍得,11,1719,1555,102
尼日尔,42,1682,1231,76
利比里亚,13,1676,1358,83
美属维尔京群岛,0,1563,1453,23
越南,0,1361,1220,35
列支敦士登,0,1344,1169,17
泽西岛,0,1110,756,32
荷属圣马丁,0,1105,993,25
圣多美和普林西比,2,999,937,17
蒙古,19,831,365,0
法属波利尼西亚,0,773,528,0
圣马丁岛,0,744,0,12
布隆迪共和国,0,692,4,1
巴布亚新几内亚,0,671,597,7
特克斯和凯科斯群岛,0,668,572,5
厄立特里亚,38,632,508,0
摩纳哥,0,630,571,3
科摩罗,0,615,590,7
坦桑尼亚,0,509,183,21
毛里求斯,0,508,465,10
不丹,0,418,386,0
马恩岛,0,369,324,25
柬埔寨,0,335,304,0
直布罗陀,0,315,273,0
根西岛,0,288,271,13
开曼群岛,0,285,236,2
巴巴多斯,0,281,257,7
百慕大,0,267,182,9
圣卢西亚,0,262,141,2
塞舌尔,0,184,168,0
法罗群岛,0,184,157,0
荷兰加勒比地区,0,163,0,3
圣巴泰勒米岛,0,152,0,0
文莱,0,151,146,3
安提瓜和巴布达,0,144,133,4
北马里亚纳群岛联邦,0,106,0,2
圣文森特和格林纳丁斯,2,87,80,0
多米尼克,0,85,63,0
英属维尔京群岛,0,73,70,1
斐济,0,44,33,2
格林那达,0,41,30,0
老挝,0,39,26,0
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
新喀里多尼亚,0,26,23,0
圣其茨和尼维斯,0,22,19,0
福克兰群岛,0,17,13,0
圣皮埃尔和密克隆群岛,0,16,12,0
蒙特塞拉特,0,13,12,1
格陵兰,0,11,11,0
安圭拉,0,3,3,0
